BLOCK,LATITUDE,LONGITUDE,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT
1 - 99 BLOCK OF 17TH STREET NE,38.89036323,-76.98076251,7,7D,1.0,108.0,Cluster 26,008002 1,8002.0,Precinct 86
1 - 99 BLOCK OF 18TH STREET SE,38.88923531,-76.97899333,7,7D,1.0,107.0,Cluster 26,006801 1,6801.0,Precinct 87
1 - 99 BLOCK OF 1ST STREET NE,38.89039034,-77.00591997,6,6C,1.0,102.0,Cluster 45,980000 1,980000.0,Precinct 130
1 - 99 BLOCK OF 22ND STREET NE,38.8901646,-76.97381248,7,7D,1.0,108.0,Cluster 25,006804 1,6804.0,Precinct 80
1 - 99 BLOCK OF 35TH STREET NE,38.89025329,-76.95552328,7,7F,6.0,603.0,Cluster 32,009603 3,9603.0,Precinct 102
1 - 99 BLOCK OF 35TH STREET SE,38.88929372,-76.95607059,7,7F,6.0,603.0,Cluster 32,007708 1,7708.0,Precinct 132
1 - 99 BLOCK OF 3RD STREET NE,38.89037201,-77.0020401,6,6C,1.0,108.0,Cluster 26,008200 2,8200.0,Precinct 89
1 - 99 BLOCK OF 46TH STREET SE,38.88933209,-76.93608872,7,7E,6.0,604.0,Cluster 33,009906 1,9906.0,Precinct 104
1 - 99 BLOCK OF 47TH STREET NE,38.89002481,-76.9348766,7,7F,6.0,608.0,Cluster 33,007803 3,7803.0,Precinct 98
1 - 99 BLOCK OF 47TH STREET SE,38.8889694,-76.93379368,7,7E,6.0,604.0,Cluster 33,009906 1,9906.0,Precinct 104
1 - 99 BLOCK OF 4TH STREET NE,38.89037238,-77.00057541,6,6C,1.0,108.0,Cluster 26,008200 3,8200.0,Precinct 89
1 - 99 BLOCK OF 4TH STREET SE,38.88924472,-77.00057598,6,6B,1.0,106.0,Cluster 26,006600 1,6600.0,Precinct 89
1 - 99 BLOCK OF 53RD PLACE SE,38.8882519,-76.92461929,7,7C,6.0,604.0,Cluster 33,009903 2,9903.0,Precinct 105
1 - 99 BLOCK OF 53RD STREET SE,38.88861829,-76.92578413,7,7C,6.0,604.0,Cluster 33,009903 2,9903.0,Precinct 105
1 - 99 BLOCK OF 6TH STREET NE,38.89037219,-76.99844736,6,6C,1.0,108.0,Cluster 26,008200 1,8200.0,Precinct 85
1 - 99 BLOCK OF 7TH STREET NE,38.89037007,-76.99617131,6,6C,1.0,108.0,Cluster 26,008200 1,8200.0,Precinct 85
1 - 99 BLOCK OF 7TH STREET SE,38.88924101,-76.99617386,6,6B,1.0,107.0,Cluster 26,006600 1,6600.0,Precinct 89
1 - 99 BLOCK OF 7TH STREET SW,38.88918366,-77.02190705,2,2C,1.0,102.0,Cluster 45,980000 1,980000.0,Precinct 129
1 - 99 BLOCK OF 8TH STREET NE,38.8903703,-76.99496689,6,6C,1.0,108.0,Cluster 26,008200 1,8200.0,Precinct 85
1 - 99 BLOCK OF 8TH STREET SE,38.88924101,-76.99496317,6,6B,1.0,107.0,Cluster 26,006600 1,6600.0,Precinct 89
1 - 99 BLOCK OF 9TH STREET NE,38.89036735,-76.99376317,6,6A,1.0,108.0,Cluster 26,008100 3,8100.0,Precinct 85
1 - 99 BLOCK OF ADAMS STREET NW,38.9202308,-77.0105958,5,5E,3.0,306.0,Cluster 21,003301 1,3301.0,Precinct 135
1 - 99 BLOCK OF ALLISON STREET NE,38.94661298,-77.00675752,5,5A,4.0,405.0,Cluster 19,009510 1,9510.0,Precinct 44
1 - 99 BLOCK OF ANACOSTIA ROAD NE,38.8910313,-76.95134031,7,7F,6.0,603.0,Cluster 32,009603 2,9603.0,Precinct 102
1 - 99 BLOCK OF ATLANTIC STREET SW,38.83146496,-77.00831882,8,8D,7.0,708.0,Cluster 39,009807 1,9807.0,Precinct 124
1 - 99 BLOCK OF BANNER LANE NW,38.9046846,-77.0112134,6,6E,1.0,102.0,Cluster 8,004704 1,4704.0,Precinct 1
1 - 99 BLOCK OF BATES STREET NW,38.91038028,-77.01060679,5,5E,3.0,308.0,Cluster 21,004600 1,4600.0,Precinct 19
1 - 99 BLOCK OF BLAIR ALLEY SW,38.88068108,-77.02635438,6,6D,1.0,103.0,Cluster 9,010202 5,10202.0,Precinct 142
1 - 99 BLOCK OF BRANDYWINE STREET SE,38.83021486,-77.00678036,8,8D,7.0,708.0,Cluster 39,009810 2,9810.0,Precinct 124
1 - 99 BLOCK OF BRUCE ROBEY COURT NE,38.89811526,-76.99090784,6,6A,1.0,104.0,Cluster 25,008402 1,8402.0,Precinct 82
1 - 99 BLOCK OF BRYANT STREET NE,38.92130559,-77.00828548,5,5E,5.0,502.0,Cluster 21,009203 1,9203.0,Precinct 135
1 - 99 BLOCK OF BRYANT STREET NW,38.92130288,-77.01059538,5,5E,3.0,306.0,Cluster 21,003301 1,3301.0,Precinct 135
1 - 99 BLOCK OF CHANNING STREET NW,38.92237244,-77.01059508,5,5E,3.0,306.0,Cluster 21,003301 1,3301.0,Precinct 135
1 - 99 BLOCK OF CHESAPEAKE STREET SW,38.82912455,-77.00839076,8,8D,7.0,708.0,Cluster 39,009807 3,9807.0,Precinct 126
1 - 99 BLOCK OF CRITTENDEN STREET NE,38.94822299,-77.00746252,5,5A,4.0,405.0,Cluster 19,009510 1,9510.0,Precinct 44
1 - 99 BLOCK OF DC VILLAGE LANE SW,38.8134727,-77.0138857,8,8D,7.0,708.0,Cluster 44,010900 2,10900.0,Precinct 126
1 - 99 BLOCK OF DIVISION AVENUE NE,38.89027288,-76.92796564,7,7C,6.0,608.0,Cluster 33,007804 3,7804.0,Precinct 97
1 - 99 BLOCK OF EVARTS STREET NE,38.92451903,-77.00840129,5,5E,5.0,502.0,Cluster 21,009203 1,9203.0,Precinct 135
1 - 99 BLOCK OF FARRAGUT PLACE NW,38.95166425,-77.00980491,4,4D,4.0,407.0,Cluster 19,002202 1,2202.0,Precinct 57
1 - 99 BLOCK OF FORT DRIVE NE,38.94166376,-77.00646302,5,5A,4.0,405.0,Cluster 19,009511 1,9511.0,Precinct 44
1 - 99 BLOCK OF G STREET NE,38.89891249,-77.00811607,6,6E,1.0,102.0,Cluster 25,010603 1,10603.0,Precinct 144
1 - 99 BLOCK OF GIRARD STREET NE,38.92604628,-77.00736563,5,5E,5.0,502.0,Cluster 21,009203 1,9203.0,Precinct 135
1 - 99 BLOCK OF H STREET NW,38.90020742,-77.01061888,6,6E,1.0,102.0,Cluster 8,004702 1,4702.0,Precinct 1
1 - 99 BLOCK OF H STREET SW,38.88027643,-77.01204559,6,6D,1.0,103.0,Cluster 9,010500 5,10500.0,Precinct 128
1 - 99 BLOCK OF HAMILTON STREET NW,38.95341307,-77.01034115,4,4D,4.0,403.0,Cluster 19,002102 2,2102.0,Precinct 57
1 - 99 BLOCK OF HANOVER PLACE NW,38.90789628,-77.00997184,5,5E,3.0,308.0,Cluster 21,004600 1,4600.0,Precinct 19
1 - 99 BLOCK OF I STREET NW,38.9013174,-77.01178779,6,6E,1.0,102.0,Cluster 8,004702 1,4702.0,Precinct 1
1 - 99 BLOCK OF IRVING STREET NW,38.93122383,-77.00955148,5,5E,4.0,405.0,Cluster 21,002302 3,2302.0,Precinct 44
1 - 99 BLOCK OF JEFFERSON STREET NE,38.95569899,-77.00823225,4,4B,4.0,406.0,Cluster 17,009505 3,9505.0,Precinct 65
1 - 99 BLOCK OF K STREET NE,38.90251578,-77.00747584,6,6E,5.0,501.0,Cluster 25,010601 1,10601.0,Precinct 144
1 - 99 BLOCK OF K STREET NW,38.90251513,-77.01015059,6,6E,1.0,102.0,Cluster 8,004704 1,4704.0,Precinct 1
1 - 99 BLOCK OF KENILWORTH AVENUE NE,38.89022553,-76.95841313,7,7D,6.0,603.0,Cluster 32,009604 1,9604.0,Precinct 101
1 - 99 BLOCK OF L STREET NE,38.90373155,-77.00747596,6,6E,5.0,501.0,Cluster 25,010603 3,10603.0,Precinct 144
1 - 99 BLOCK OF L STREET SW,38.87752934,-77.00995469,6,6D,1.0,105.0,Cluster 9,010500 5,10500.0,Precinct 128
1 - 99 BLOCK OF M STREET NE,38.9056424,-77.00747409,6,6E,5.0,501.0,Cluster 25,010603 2,10603.0,Precinct 144
1 - 99 BLOCK OF MASSACHUSETTS AVENUE NE,38.89720394,-77.00838793,6,6C,1.0,102.0,Cluster 25,010603 1,10603.0,Precinct 144
1 - 99 BLOCK OF N STREET NE,38.90723823,-77.0074919,6,6E,5.0,501.0,Cluster 25,010601 1,10601.0,Precinct 144
1 - 99 BLOCK OF N STREET NW,38.90723616,-77.01085743,5,5E,3.0,308.0,Cluster 21,004600 1,4600.0,Precinct 19
1 - 99 BLOCK OF NICHOLSON STREET NW,38.9601616,-77.01043063,4,4B,4.0,406.0,Cluster 17,001902 1,1902.0,Precinct 64
1 - 99 BLOCK OF O STREET NW,38.90856644,-77.01067524,5,5E,3.0,308.0,Cluster 21,004600 1,4600.0,Precinct 19
1 - 99 BLOCK OF P STREET NE,38.9096374,-77.00780299,5,5F,5.0,501.0,Cluster 21,010601 1,10601.0,Precinct 75
1 - 99 BLOCK OF P STREET NW,38.90963853,-77.01060726,5,5E,3.0,308.0,Cluster 21,004600 1,4600.0,Precinct 19
1 - 99 BLOCK OF PATTERSON STREET NE,38.90644802,-77.00740073,6,6E,5.0,501.0,Cluster 25,010601 1,10601.0,Precinct 144
