BLOCK,LATITUDE,LONGITUDE,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT
3300 - 3699 BLOCK OF F STREET SE,38.88199432,-76.95923173,7,7B,6.0,603.0,Cluster 32,007708 2,7708.0,Precinct 132
3300 - 3730 BLOCK OF HAYES STREET NE,38.9066616,-76.95281911,7,7D,6.0,601.0,Cluster 30,009602 2,9602.0,Precinct 100
3300- 3399 BLOCK OF EAST CAPITOL STREET,38.88995915,-76.95942947,7,7D,6.0,603.0,Cluster 32,009604 1,9604.0,Precinct 101
3301 - 3399 BLOCK OF BENNING ROAD NE,38.89672307,-76.95887967,7,7D,6.0,603.0,Cluster 32,009604 2,9604.0,Precinct 101
3301 - 3399 BLOCK OF GEORGIA AVENUE NW,38.93161622,-77.02360187,1,1E,4.0,409.0,Cluster 2,003100 2,3100.0,Precinct 38
3304 - 3398 BLOCK OF 7TH STREET SE,38.84078617,-76.99690725,8,8C,7.0,705.0,Cluster 39,009804 1,9804.0,Precinct 122
3315 - 3399 BLOCK OF 15TH STREET SE,38.84490044,-76.98331511,8,8E,7.0,705.0,Cluster 38,007304 3,7304.0,Precinct 120
3319 - 3499 BLOCK OF CONNECTICUT AVENUE NW,38.93482428,-77.05808053,3,3C,2.0,203.0,Cluster 15,001304 1,1304.0,Precinct 34
332 - 599 BLOCK OF 51ST STREET NE,38.89580512,-76.92769412,7,7C,6.0,602.0,Cluster 31,007804 2,7804.0,Precinct 97
3329 - 3399 BLOCK OF 17TH STREET NW,38.93383964,-77.03881309,1,1D,3.0,302.0,Cluster 2,002703 2,2703.0,Precinct 40
333 - 499 BLOCK OF 53RD STREET NE,38.8948083,-76.92477986,7,7C,6.0,608.0,Cluster 31,007808 1,7808.0,Precinct 96
333 - 572 BLOCK OF MALCOLM X AVENUE SE,38.84508899,-76.99900254,8,8C,7.0,707.0,Cluster 39,010400 2,10400.0,Precinct 123
3330 - 3399 BLOCK OF 22ND STREET SE,38.84914238,-76.97417163,8,8E,7.0,704.0,Cluster 38,007403 2,7403.0,Precinct 116
3330 - 3399 BLOCK OF ERIE STREET SE,38.85647803,-76.95782415,7,7B,6.0,606.0,Cluster 35,007603 3,7603.0,Precinct 110
3335 - 3499 BLOCK OF 7TH STREET SE,38.83972569,-76.99662624,8,8C,7.0,705.0,Cluster 39,009804 1,9804.0,Precinct 122
3337 - 3399 BLOCK OF 18TH STREET NW,38.93372709,-77.04128965,1,1D,3.0,302.0,Cluster 2,002703 2,2703.0,Precinct 40
3342 - 3399 BLOCK OF 16TH STREET NW,38.93294723,-77.03645573,1,1A,4.0,408.0,Cluster 2,002802 1,2802.0,Precinct 41
3351 - 3400 BLOCK OF 14TH STREET NW,38.93126558,-77.03271279,1,1A,3.0,302.0,Cluster 2,002900 2,2900.0,Precinct 41
3355 - 3399 BLOCK OF MINNESOTA AVENUE SE,38.88323147,-76.95778088,7,7B,6.0,603.0,Cluster 32,007708 2,7708.0,Precinct 132
3360 - 3399 BLOCK OF SOUTHERN AVENUE SE,38.85651982,-76.95603245,7,7B,6.0,606.0,Cluster 35,007603 3,7603.0,Precinct 110
337 - 399 BLOCK OF RIGGS PARK PLACE NE,38.95763443,-77.00136812,4,4B,4.0,406.0,Cluster 19,009507 1,9507.0,Precinct 65
3370 - 3499 BLOCK OF BANNEKER DRIVE NE,38.9276904,-76.96093516,5,5C,5.0,503.0,Cluster 24,009000 1,9000.0,Precinct 139
3390 - 3399 BLOCK OF BLAINE STREET NE,38.89183599,-76.95724025,7,7D,6.0,603.0,Cluster 32,009604 1,9604.0,Precinct 101
33RD STREET NW AND DENT PLACE NW,38.91174537,-77.06612393,2,2E,2.0,206.0,Cluster 4,000202 1,202.0,Precinct 6
34 - 99 BLOCK OF O STREET SW,38.87295952,-77.01141142,6,6D,1.0,105.0,Cluster 9,006400 2,6400.0,Precinct 127
3400 - 3409 BLOCK OF 19TH STREET SE,38.84609512,-76.97688396,8,8E,7.0,704.0,Cluster 38,007409 2,7409.0,Precinct 116
3400 - 3413 BLOCK OF HOLMEAD PLACE NW,38.93222709,-77.03086812,1,1A,4.0,408.0,Cluster 2,002900 2,2900.0,Precinct 42
3400 - 3416 BLOCK OF 14TH STREET NW,38.93160663,-77.03273555,1,1A,4.0,408.0,Cluster 2,002802 1,2802.0,Precinct 41
3400 - 3421 BLOCK OF WISCONSIN AVENUE NW,38.93507771,-77.0726915,3,3A,2.0,204.0,Cluster 14,001002 4,1002.0,Precinct 29
3400 - 3430 BLOCK OF BROWN STREET NW,38.93431162,-77.03762064,1,1D,3.0,302.0,Cluster 2,002703 1,2703.0,Precinct 40
3400 - 3431 BLOCK OF 21ST STREET SE,38.84646647,-76.97392047,8,8E,7.0,704.0,Cluster 38,007409 2,7409.0,Precinct 116
3400 - 3432 BLOCK OF 13TH STREET SE,38.84134097,-76.98850257,8,8E,7.0,705.0,Cluster 38,007304 4,7304.0,Precinct 120
3400 - 3465 BLOCK OF 25TH STREET SE,38.84701615,-76.96936041,8,8E,7.0,704.0,Cluster 38,007409 1,7409.0,Precinct 116
3400 - 3478 BLOCK OF SUMMIT COURT NE,38.92798978,-76.95893084,5,5C,5.0,503.0,Cluster 24,009000 1,9000.0,Precinct 139
3400 - 3489 BLOCK OF 15TH STREET SE,38.8433999,-76.98331672,8,8E,7.0,705.0,Cluster 38,007304 4,7304.0,Precinct 120
3400 - 3498 BLOCK OF STANTON ROAD SE,38.84523102,-76.97922773,8,8E,7.0,704.0,Cluster 38,007409 3,7409.0,Precinct 116
3400 - 3499 BLOCK OF 10TH PLACE SE,38.84005572,-76.9920581,8,8C,7.0,705.0,Cluster 39,007304 2,7304.0,Precinct 120
3400 - 3499 BLOCK OF 11TH PLACE SE,38.84079446,-76.99104535,8,8C,7.0,705.0,Cluster 39,007304 1,7304.0,Precinct 120
3400 - 3499 BLOCK OF 11TH STREET NW,38.93230537,-77.02837797,1,1A,3.0,302.0,Cluster 2,002900 1,2900.0,Precinct 42
3400 - 3499 BLOCK OF 12TH STREET NE,38.93204291,-76.9909613,5,5B,5.0,504.0,Cluster 22,009301 2,9301.0,Precinct 73
3400 - 3499 BLOCK OF 13TH PLACE SE,38.84164729,-76.98728132,8,8E,7.0,705.0,Cluster 38,007304 4,7304.0,Precinct 120
3400 - 3499 BLOCK OF 13TH STREET NW,38.93184346,-77.02971046,1,1A,3.0,302.0,Cluster 2,002900 2,2900.0,Precinct 42
3400 - 3499 BLOCK OF 15TH STREET NE,38.93237435,-76.98439943,5,5B,5.0,504.0,Cluster 22,009301 1,9301.0,Precinct 70
3400 - 3499 BLOCK OF 16TH STREET NE,38.93246077,-76.98267942,5,5B,5.0,504.0,Cluster 22,009301 1,9301.0,Precinct 70
3400 - 3499 BLOCK OF 16TH STREET NW,38.93385878,-77.03645516,1,1A,4.0,408.0,Cluster 2,002801 1,2801.0,Precinct 41
3400 - 3499 BLOCK OF 18TH STREET NE,38.93261782,-76.97957619,5,5B,5.0,504.0,Cluster 22,009301 1,9301.0,Precinct 70
3400 - 3499 BLOCK OF 18TH STREET SE,38.84549514,-76.97815238,8,8E,7.0,704.0,Cluster 38,007409 3,7409.0,Precinct 116
3400 - 3499 BLOCK OF 20TH STREET NE,38.93262088,-76.9762233,5,5B,5.0,503.0,Cluster 22,009400 2,9400.0,Precinct 70
3400 - 3499 BLOCK OF 23RD STREET SE,38.84646149,-76.97163624,8,8E,7.0,704.0,Cluster 38,007409 2,7409.0,Precinct 116
3400 - 3499 BLOCK OF 24TH STREET NE,38.93261629,-76.97216675,5,5B,5.0,503.0,Cluster 24,009400 3,9400.0,Precinct 71
3400 - 3499 BLOCK OF 24TH STREET SE,38.84683487,-76.97071263,8,8E,7.0,704.0,Cluster 38,007409 1,7409.0,Precinct 116
3400 - 3499 BLOCK OF 29TH STREET NW,38.93508373,-77.05984577,3,3C,2.0,203.0,Cluster 15,000600 2,600.0,Precinct 27
3400 - 3499 BLOCK OF 38TH STREET NW,38.93609232,-77.07439265,3,3A,2.0,204.0,Cluster 14,001002 4,1002.0,Precinct 29
3400 - 3499 BLOCK OF 5TH STREET SE,38.84010593,-76.9995086,8,8C,7.0,705.0,Cluster 39,009804 2,9804.0,Precinct 122
3400 - 3499 BLOCK OF 8TH STREET NE,38.93187442,-76.99497181,5,5F,5.0,502.0,Cluster 21,009201 1,9201.0,Precinct 74
3400 - 3499 BLOCK OF 9TH STREET NE,38.93191246,-76.99365354,5,5B,5.0,504.0,Cluster 21,009301 2,9301.0,Precinct 73
3400 - 3499 BLOCK OF A STREET SE,38.88878536,-76.95678437,7,7F,6.0,603.0,Cluster 32,007708 1,7708.0,Precinct 132
3400 - 3499 BLOCK OF ALBEMARLE STREET NW,38.94789473,-77.06629312,3,3F,2.0,203.0,Cluster 12,001200 3,1200.0,Precinct 33
3400 - 3499 BLOCK OF B STREET SE,38.88758629,-76.95679357,7,7F,6.0,603.0,Cluster 32,007708 1,7708.0,Precinct 132
3400 - 3499 BLOCK OF BAKER STREET NE,38.89277735,-76.95669551,7,7D,6.0,603.0,Cluster 32,009604 1,9604.0,Precinct 101
3400 - 3499 BLOCK OF BENNING ROAD NE,38.89630536,-76.95615179,7,7D,6.0,603.0,Cluster 32,009604 2,9604.0,Precinct 101
3400 - 3499 BLOCK OF BROTHERS PLACE SE,38.84135359,-77.00489724,8,8C,7.0,707.0,Cluster 39,010400 1,10400.0,Precinct 123
3400 - 3499 BLOCK OF C STREET SE,38.88600777,-76.95665738,7,7B,6.0,603.0,Cluster 32,007708 2,7708.0,Precinct 132
3400 - 3499 BLOCK OF CROFFUT PLACE SE,38.88679401,-76.95678996,7,7B,6.0,603.0,Cluster 32,007708 2,7708.0,Precinct 132
3400 - 3499 BLOCK OF GEORGIA AVENUE NW,38.93242496,-77.02371551,1,1E,4.0,409.0,Cluster 2,003100 2,3100.0,Precinct 38
3400 - 3499 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,38.84086944,-77.0038614,8,8C,7.0,707.0,Cluster 39,009804 2,9804.0,Precinct 122
3400 - 3499 BLOCK OF MOUNT PLEASANT STREET NW,38.93482594,-77.03995513,1,1D,3.0,302.0,Cluster 2,002704 1,2704.0,Precinct 40
3400 - 3499 BLOCK OF N STREET NW,38.90674884,-77.0684059,2,2E,2.0,206.0,Cluster 4,000202 3,202.0,Precinct 6
3400 - 3499 BLOCK OF OAKWOOD TERRACE NW,38.93490941,-77.03845208,1,1D,3.0,302.0,Cluster 2,002703 1,2703.0,Precinct 40
3400 - 3499 BLOCK OF OLIVER STREET NW,38.96671674,-77.06991275,3,3/4G,2.0,201.0,Cluster 10,001401 2,1401.0,Precinct 50
3400 - 3499 BLOCK OF P STREET NW,38.90873334,-77.06846026,2,2E,2.0,206.0,Cluster 4,000202 2,202.0,Precinct 6
3400 - 3499 BLOCK OF PORTER STREET NW,38.93733262,-77.06751158,3,3C,2.0,203.0,Cluster 15,000600 4,600.0,Precinct 27
3400 - 3499 BLOCK OF R STREET NW,38.91367767,-77.06859957,2,2E,2.0,206.0,Cluster 4,000202 1,202.0,Precinct 6
3400 - 3499 BLOCK OF RESERVOIR ROAD NW,38.91269037,-77.0685729,2,2E,2.0,206.0,Cluster 4,000202 1,202.0,Precinct 6
3400 - 3499 BLOCK OF SOUTHERN AVENUE SE,38.8571005,-76.95528754,7,7B,6.0,606.0,Cluster 35,007603 3,7603.0,Precinct 110
3400 - 3499 BLOCK OF YUMA STREET NW,38.9462429,-77.06625098,3,3F,2.0,203.0,Cluster 12,001200 4,1200.0,Precinct 33
3400 - 3513 BLOCK OF MINNESOTA AVENUE SE,38.88518893,-76.95638142,7,7B,6.0,603.0,Cluster 32,007703 4,7703.0,Precinct 107
3400 - 3599 BLOCK OF COMMODORE JOSHUA BARNEY DRIVE NE,38.92642679,-76.95655478,5,5C,5.0,503.0,Cluster 24,009000 2,9000.0,Precinct 139
3400 - 3599 BLOCK OF LIVINGSTON STREET NW,38.96309242,-77.06859463,3,3/4G,2.0,201.0,Cluster 10,001401 1,1401.0,Precinct 50
3400 - 3599 BLOCK OF MORRISON STREET NW,38.96400119,-77.06885893,3,3/4G,2.0,201.0,Cluster 10,001401 1,1401.0,Precinct 50
3400 - 3599 BLOCK OF WATER STREET NW,38.90416875,-77.06933715,2,2E,2.0,206.0,Cluster 4,000202 4,202.0,Precinct 6
3400 - 3698 BLOCK OF EADS STREET NE,38.89545745,-76.95615459,7,7D,6.0,603.0,Cluster 32,009604 2,9604.0,Precinct 101
3400 - 3699 BLOCK OF 4TH STREET SE,38.83942837,-77.00057362,8,8C,7.0,707.0,Cluster 39,009803 1,9803.0,Precinct 122
3400 - 3699 BLOCK OF HAREWOOD ROAD NE,38.93285075,-77.00150189,5,5A,4.0,405.0,Cluster 21,002302 2,2302.0,Precinct 44
3400 - 3699 BLOCK OF NASH PLACE SE,38.87393055,-76.9556812,7,7B,6.0,605.0,Cluster 34,009901 2,9901.0,Precinct 108
3400 - 3798 BLOCK OF PENNSYLVANIA AVENUE SE,38.86697493,-76.95470837,7,7B,6.0,605.0,Cluster 34,009901 2,9901.0,Precinct 109
3400 - 3799 BLOCK OF 22ND STREET SE,38.84565958,-76.97277144,8,8E,7.0,704.0,Cluster 38,007409 2,7409.0,Precinct 116
3400 - 3799 BLOCK OF BENNING ROAD NE,38.89563884,-76.95196889,7,7D,6.0,601.0,Cluster 30,009602 3,9602.0,Precinct 100
3401 - 3499 BLOCK OF NEBRASKA AVENUE NW,38.93530795,-77.08815466,3,3D,2.0,205.0,Cluster 13,000804 3,804.0,Precinct 9
3410 - 3499 BLOCK OF 19TH STREET SE,38.84542709,-76.97660656,8,8E,7.0,704.0,Cluster 38,007409 3,7409.0,Precinct 116
3410 - 3599 BLOCK OF 17TH STREET NW,38.93582893,-77.03913562,1,1D,3.0,302.0,Cluster 2,002704 1,2704.0,Precinct 40
3411 - 3599 BLOCK OF STANTON ROAD SE,38.8438842,-76.9789193,8,8E,7.0,704.0,Cluster 38,007409 3,7409.0,Precinct 116
3413 - 3448 BLOCK OF 14TH STREET NW,38.93217515,-77.03273385,1,1A,4.0,408.0,Cluster 2,002900 2,2900.0,Precinct 41
3414 - 3435 BLOCK OF HOLMEAD PLACE NW,38.93282642,-77.03086411,1,1A,4.0,408.0,Cluster 2,002900 2,2900.0,Precinct 42
3422 - 3699 BLOCK OF N STREET SE,38.87459828,-76.95513995,7,7B,6.0,605.0,Cluster 34,009901 2,9901.0,Precinct 108
3426 - 3453 BLOCK OF DIX STREET NE,38.89476717,-76.95613764,7,7D,6.0,603.0,Cluster 32,009604 2,9604.0,Precinct 101
3426 - 3501 BLOCK OF GEORGIA AVENUE NW,38.93291356,-77.0237873,1,1E,4.0,409.0,Cluster 2,003200 2,3200.0,Precinct 43
3429 - 3464 BLOCK OF 14TH STREET NW,38.93282402,-77.0327323,1,1A,4.0,408.0,Cluster 2,002801 1,2801.0,Precinct 41
3431 - 3499 BLOCK OF BROWN STREET NW,38.93498422,-77.03719067,1,1D,3.0,302.0,Cluster 2,002703 1,2703.0,Precinct 40
3431 - 3599 BLOCK OF 13TH STREET SE,38.84032856,-76.98850517,8,8E,7.0,705.0,Cluster 38,007304 4,7304.0,Precinct 120
3432 - 3499 BLOCK OF 21ST STREET SE,38.84571181,-76.97426595,8,8E,7.0,704.0,Cluster 38,007409 2,7409.0,Precinct 116
3432 - 3599 BLOCK OF TEXAS AVENUE SE,38.86897827,-76.95344473,7,7B,6.0,605.0,Cluster 34,009901 2,9901.0,Precinct 109
3436 - 3473 BLOCK OF HOLMEAD PLACE NW,38.93351402,-77.03086821,1,1A,4.0,408.0,Cluster 2,002900 2,2900.0,Precinct 42
3437 - 3488 BLOCK OF SUMMIT COURT NE,38.9285967,-76.95825351,5,5C,5.0,503.0,Cluster 24,009000 1,9000.0,Precinct 139
3445 - 3466 BLOCK OF 14TH STREET NW,38.93332308,-77.03273092,1,1A,4.0,408.0,Cluster 2,002900 2,2900.0,Precinct 41
3450- 3599 BLOCK OF 21ST STREET SE,38.84467865,-76.97394493,8,8E,7.0,704.0,Cluster 38,007409 2,7409.0,Precinct 116
3451 - 3472 BLOCK OF 14TH STREET NW,38.93353045,-77.03273021,1,1A,4.0,408.0,Cluster 2,002900 2,2900.0,Precinct 41
3455 - 3474 BLOCK OF 14TH STREET NW,38.93371782,-77.03273018,1,1A,4.0,408.0,Cluster 2,002900 2,2900.0,Precinct 41
34TH STREET NW AND WATER STREET NW,38.9038994,-77.0678032,2,2E,2.0,206.0,Cluster 4,000202 4,202.0,Precinct 6
350 - 399 BLOCK OF I STREET SW,38.87928293,-77.0168892,6,6D,1.0,103.0,Cluster 9,010500 2,10500.0,Precinct 128
3500 - 3505 BLOCK OF 14TH STREET NW,38.93475233,-77.03273273,1,1D,4.0,408.0,Cluster 2,002801 2,2801.0,Precinct 41
3500 - 3511 BLOCK OF CENTER STREET NW,38.93433201,-77.03550732,1,1D,4.0,408.0,Cluster 2,002801 1,2801.0,Precinct 41
3500 - 3524 BLOCK OF T STREET NW,38.91545818,-77.06979448,2,2E,2.0,206.0,Cluster 4,000300 1,300.0,Precinct 6
3500 - 3527 BLOCK OF MINNESOTA AVENUE SE,38.88639654,-76.95551588,7,7B,6.0,603.0,Cluster 32,007708 2,7708.0,Precinct 132
3500 - 3528 BLOCK OF PARK PLACE NW,38.933112,-77.01891029,1,1E,4.0,409.0,Cluster 2,003200 2,3200.0,Precinct 43
3500 - 3529 BLOCK OF HOLMEAD PLACE NW,38.93493229,-77.0308664,1,1A,4.0,408.0,Cluster 2,002900 2,2900.0,Precinct 42
3500 - 3531 BLOCK OF AMES STREET NE,38.89068157,-76.95440895,7,7F,6.0,603.0,Cluster 32,009603 3,9603.0,Precinct 102
3500 - 3533 BLOCK OF GEORGIA AVENUE NW,38.93332946,-77.02384533,1,1E,4.0,409.0,Cluster 2,003100 2,3100.0,Precinct 43
3500 - 3536 BLOCK OF WARDER STREET NW,38.93290481,-77.02051408,1,1E,4.0,409.0,Cluster 2,003200 2,3200.0,Precinct 43
3500 - 3598 BLOCK OF 16TH STREET NW,38.93469817,-77.03645224,1,1D,3.0,302.0,Cluster 2,002703 1,2703.0,Precinct 40
3500 - 3599 BLOCK OF 10TH STREET NE,38.93295061,-76.99266353,5,5B,5.0,504.0,Cluster 22,009301 2,9301.0,Precinct 73
3500 - 3599 BLOCK OF 10TH STREET NW,38.93371992,-77.02734823,1,1A,4.0,408.0,Cluster 2,002900 1,2900.0,Precinct 42
3500 - 3599 BLOCK OF 11TH STREET NW,38.93367992,-77.02849455,1,1A,4.0,408.0,Cluster 2,002900 1,2900.0,Precinct 42
3500 - 3599 BLOCK OF 12TH STREET NE,38.93303175,-76.99103729,5,5B,5.0,504.0,Cluster 22,009301 2,9301.0,Precinct 73
3500 - 3599 BLOCK OF 13TH STREET NW,38.93346702,-77.02972533,1,1A,4.0,408.0,Cluster 2,002900 1,2900.0,Precinct 42
3500 - 3599 BLOCK OF 15TH STREET NE,38.93336014,-76.98447868,5,5B,5.0,504.0,Cluster 22,009301 1,9301.0,Precinct 70
3500 - 3599 BLOCK OF 16TH STREET NE,38.93344746,-76.98275946,5,5B,5.0,504.0,Cluster 22,009301 1,9301.0,Precinct 70
3500 - 3599 BLOCK OF 17TH STREET NE,38.93352451,-76.98121463,5,5B,5.0,504.0,Cluster 22,009301 1,9301.0,Precinct 70
3500 - 3599 BLOCK OF 18TH STREET NE,38.93360262,-76.97965365,5,5B,5.0,504.0,Cluster 22,009301 1,9301.0,Precinct 70
3500 - 3599 BLOCK OF 18TH STREET SE,38.84423651,-76.97768941,8,8E,7.0,704.0,Cluster 38,007409 3,7409.0,Precinct 116
3500 - 3599 BLOCK OF 19TH STREET SE,38.84447448,-76.97639479,8,8E,7.0,704.0,Cluster 38,007409 2,7409.0,Precinct 116
3500 - 3599 BLOCK OF 24TH STREET NE,38.93360414,-76.97216682,5,5B,5.0,503.0,Cluster 24,009400 3,9400.0,Precinct 71
3500 - 3599 BLOCK OF 30TH STREET NW,38.93648803,-77.06107625,3,3C,2.0,203.0,Cluster 15,000600 2,600.0,Precinct 27
3500 - 3599 BLOCK OF 36TH STREET NW,38.93680976,-77.07088309,3,3C,2.0,203.0,Cluster 15,000600 4,600.0,Precinct 27
3500 - 3599 BLOCK OF 39TH STREET NW,38.93629263,-77.07736299,3,3A,2.0,204.0,Cluster 14,001002 4,1002.0,Precinct 29
3500 - 3599 BLOCK OF A STREET SE,38.88878488,-76.9549447,7,7F,6.0,603.0,Cluster 32,007708 1,7708.0,Precinct 132
3500 - 3599 BLOCK OF ALBEMARLE STREET NW,38.94789686,-77.06837617,3,3F,2.0,203.0,Cluster 12,001200 3,1200.0,Precinct 33
3500 - 3599 BLOCK OF APPLETON STREET NW,38.94879132,-77.06802552,3,3F,2.0,203.0,Cluster 12,001200 2,1200.0,Precinct 33
3500 - 3599 BLOCK OF B STREET SE,38.88758514,-76.95537211,7,7F,6.0,603.0,Cluster 32,007708 1,7708.0,Precinct 132
3500 - 3599 BLOCK OF BRANDYWINE STREET NW,38.94968407,-77.06827936,3,3F,2.0,203.0,Cluster 12,001200 2,1200.0,Precinct 33
3500 - 3599 BLOCK OF BROTHERS PLACE SE,38.84043073,-77.00559623,8,8C,7.0,707.0,Cluster 39,010400 1,10400.0,Precinct 124
3500 - 3599 BLOCK OF CONNECTICUT AVENUE NW,38.93619504,-77.05887669,3,3C,2.0,203.0,Cluster 15,001304 1,1304.0,Precinct 34
3500 - 3599 BLOCK OF DAVENPORT STREET NW,38.95209319,-77.06898321,3,3F,2.0,203.0,Cluster 12,001200 1,1200.0,Precinct 33
3500 - 3599 BLOCK OF DAVIS STREET NW,38.92362301,-77.07018026,3,3C,2.0,204.0,Cluster 14,000400 1,400.0,Precinct 12
3500 - 3599 BLOCK OF GARFIELD STREET NW,38.92752666,-77.06976004,3,3C,2.0,204.0,Cluster 15,000400 1,400.0,Precinct 12
3500 - 3599 BLOCK OF HIGHWOOD DRIVE SE,38.86961507,-76.95417483,7,7B,6.0,605.0,Cluster 34,009901 2,9901.0,Precinct 109
3500 - 3599 BLOCK OF MACOMB STREET NW,38.93348629,-77.06975941,3,3C,2.0,203.0,Cluster 15,000600 3,600.0,Precinct 27
3500 - 3599 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,38.83975842,-77.00470428,8,8C,7.0,707.0,Cluster 39,010400 1,10400.0,Precinct 124
3500 - 3599 BLOCK OF PORTER STREET NW,38.9373313,-77.06976133,3,3C,2.0,203.0,Cluster 15,000600 4,600.0,Precinct 27
3500 - 3599 BLOCK OF PROSPECT STREET NW,38.90588314,-77.06962393,2,2E,2.0,206.0,Cluster 4,000202 4,202.0,Precinct 6
3500 - 3599 BLOCK OF RITTENHOUSE STREET NW,38.96976226,-77.07152735,3,3/4G,2.0,201.0,Cluster 10,001401 2,1401.0,Precinct 50
3500 - 3599 BLOCK OF RODMAN STREET NW,38.93908817,-77.06964378,3,3A,2.0,203.0,Cluster 15,000600 4,600.0,Precinct 27
3500 - 3599 BLOCK OF RUNNYMEDE PLACE NW,38.9705368,-77.07180438,3,3/4G,2.0,201.0,Cluster 10,001401 2,1401.0,Precinct 50
3500 - 3599 BLOCK OF S STREET NW,38.91454771,-77.07023959,2,2E,2.0,206.0,Cluster 4,000300 1,300.0,Precinct 6
3500 - 3600 BLOCK OF M STREET NW,38.90502916,-77.06959381,2,2E,2.0,206.0,Cluster 4,000202 4,202.0,Precinct 6
3500 - 3699 BLOCK OF ELY PLACE SE,38.88362719,-76.95384088,7,7F,6.0,603.0,Cluster 32,007703 3,7703.0,Precinct 107
3500 - 3699 BLOCK OF ROCK CREEK CHURCH ROAD NW,38.93448698,-77.02618811,1,1A,4.0,408.0,Cluster 2,002900 1,2900.0,Precinct 42
3500 - 3703 BLOCK OF WHEELER ROAD SE,38.83934046,-76.9935837,8,8C,7.0,705.0,Cluster 39,009804 1,9804.0,Precinct 122
3500 - 3899 BLOCK OF JAY STREET NE,38.90396883,-76.94720621,7,7D,6.0,601.0,Cluster 30,009602 2,9602.0,Precinct 100
3500 - 3899 BLOCK OF JOHN MCCORMACK ROAD NE,38.94037113,-76.9977535,5,5A,4.0,405.0,Cluster 20,009510 1,9510.0,Precinct 68
3501 - 3752 BLOCK OF HAYES STREET NE,38.90288023,-76.94996493,7,7D,6.0,601.0,Cluster 30,009602 2,9602.0,Precinct 100
3506 - 3540 BLOCK OF 14TH STREET NW,38.93511663,-77.03273301,1,1D,4.0,408.0,Cluster 2,002801 2,2801.0,Precinct 41
3517 - 3549 BLOCK OF CENTER STREET NW,38.93506723,-77.03503215,1,1D,4.0,408.0,Cluster 2,002801 2,2801.0,Precinct 41
3517 - 3599 BLOCK OF T STREET NW,38.91543637,-77.07070918,2,2E,2.0,206.0,Cluster 4,000300 1,300.0,Precinct 6
3517 - 3648 BLOCK OF 16TH STREET NW,38.93588403,-77.03645008,1,1D,3.0,302.0,Cluster 2,002704 2,2704.0,Precinct 40
3520 - 3699 BLOCK OF WHITEHAVEN PARKWAY NW,38.91632643,-77.07154294,2,2E,2.0,206.0,Cluster 4,000300 1,300.0,Precinct 6
3523 - 3599 BLOCK OF 14TH STREET NW,38.93592783,-77.032732,1,1A,4.0,408.0,Cluster 2,002900 2,2900.0,Precinct 41
3528 - 3599 BLOCK OF MINNESOTA AVENUE SE,38.88719032,-76.95495153,7,7B,6.0,603.0,Cluster 32,007708 1,7708.0,Precinct 132
3536 - 3599 BLOCK OF HOLMEAD PLACE NW,38.9361893,-77.03086914,1,1A,4.0,408.0,Cluster 2,002900 2,2900.0,Precinct 42
3537 - 3599 BLOCK OF 6TH STREET NW,38.93432171,-77.02209957,1,1E,4.0,409.0,Cluster 2,003200 2,3200.0,Precinct 43
3553 - 3610 BLOCK OF GEORGIA AVENUE NW,38.93434277,-77.02399734,1,1E,4.0,409.0,Cluster 2,003200 2,3200.0,Precinct 43
3560 - 3599 BLOCK OF WARDER STREET NW,38.93445335,-77.02092698,1,1E,4.0,409.0,Cluster 2,003200 2,3200.0,Precinct 43
358 - 399 BLOCK OF EASTERN AVENUE NE,38.89456968,-76.91154525,7,7C,6.0,608.0,Cluster 31,007808 2,7808.0,Precinct 95
36 - 99 BLOCK OF HAWAII AVENUE NE,38.94561849,-77.00641135,5,5A,4.0,405.0,Cluster 19,009510 1,9510.0,Precinct 44
3600 - 3618 BLOCK OF HANSBERRY COURT NE,38.92276924,-76.95515139,5,5C,5.0,503.0,Cluster 24,009000 2,9000.0,Precinct 139
3600 - 3619 BLOCK OF MASSACHUSETTS AVENUE NW,38.92723315,-77.07128344,3,3C,2.0,204.0,Cluster 14,000400 1,400.0,Precinct 12
3600 - 3629 BLOCK OF 36TH PLACE SE,38.86369096,-76.95443315,7,7B,6.0,606.0,Cluster 35,007603 1,7603.0,Precinct 110
3600 - 3629 BLOCK OF CAMDEN STREET SE,38.85941718,-76.95566043,7,7B,6.0,606.0,Cluster 35,007603 3,7603.0,Precinct 110
3600 - 3635 BLOCK OF ALABAMA AVENUE SE,38.8633237,-76.95625625,7,7B,6.0,606.0,Cluster 35,007604 4,7604.0,Precinct 110
3600 - 3639 BLOCK OF NEW HAMPSHIRE AVENUE NW,38.93458638,-77.02559439,1,1A,4.0,408.0,Cluster 2,002900 1,2900.0,Precinct 42
3600 - 3679 BLOCK OF 10TH STREET NE,38.93393603,-76.99274912,5,5B,5.0,504.0,Cluster 22,009301 2,9301.0,Precinct 68
3600 - 3687 BLOCK OF ORDWAY STREET NW,38.93628313,-77.07192859,3,3A,2.0,203.0,Cluster 15,000600 4,600.0,Precinct 27
